"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","192.168.100.9","192.168.100.14","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=0, ID=2658) [Reassembled in #45]"
"2","0.000000","192.168.100.9","192.168.100.14","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=1480, ID=2658) [Reassembled in #45]"
"3","0.000001","192.168.100.9","192.168.100.14","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=2960, ID=2658) [Reassembled in #45]"
"4","0.000002","192.168.100.9","192.168.100.14","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=4440, ID=2658) [Reassembled in #45]"
"5","0.000002","192.168.100.9","192.168.100.14","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=5920, ID=2658) [Reassembled in #45]"
"6","0.000003","192.168.100.9","192.168.100.14","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=7400, ID=2658) [Reassembled in #45]"
"7","0.000003","192.168.100.9","192.168.100.14","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=8880, ID=2658) [Reassembled in #45]"
"8","0.000004","192.168.100.9","192.168.100.14","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=10360, ID=2658) [Reassembled in #45]"
"9","0.000538","192.168.100.9","192.168.100.14","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=11840, ID=2658) [Reassembled in #45]"
"10","0.000538","192.168.100.9","192.168.100.14","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=13320, ID=2658) [Reassembled in #45]"
"11","0.000539","192.168.100.9","192.168.100.14","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=14800, ID=2658) [Reassembled in #45]"
"12","0.000853","192.168.100.9","192.168.100.14","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=16280, ID=2658) [Reassembled in #45]"
"13","0.000854","192.168.100.9","192.168.100.14","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=17760, ID=2658) [Reassembled in #45]"
"14","0.006989","192.168.100.9","192.168.100.14","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=19240, ID=2658) [Reassembled in #45]"
"15","0.006991","192.168.100.9","192.168.100.14","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=20720, ID=2658) [Reassembled in #45]"
"16","0.006991","192.168.100.9","192.168.100.14","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=22200, ID=2658) [Reassembled in #45]"
