"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","192.168.100.9","192.168.100.14","ICMP","74","Echo (ping) request  id=0x0001, seq=55780/58585, ttl=128 (reply in 2)"
"2","0.000078","192.168.100.14","192.168.100.9","ICMP","74","Echo (ping) reply    id=0x0001, seq=55780/58585, ttl=128 (request in 1)"
"3","0.036874","IntelCor_bb:93:4c","Azurewav_44:a4:d3","ARP","42","Who has 192.168.100.14? Tell 192.168.100.25"
"4","0.036890","Azurewav_44:a4:d3","IntelCor_bb:93:4c","ARP","42","192.168.100.14 is at 80:a5:89:44:a4:d3"
"5","0.338979","192.168.100.25","192.168.100.14","ICMP","74","Echo (ping) request  id=0x0001, seq=2284/60424, ttl=128 (reply in 6)"
"6","0.339077","192.168.100.14","192.168.100.25","ICMP","74","Echo (ping) reply    id=0x0001, seq=2284/60424, ttl=128 (request in 5)"
"7","0.525261","192.168.100.5","192.168.100.14","ICMP","74","Echo (ping) request  id=0x0001, seq=1113/22788, ttl=128 (reply in 8)"
"8","0.525337","192.168.100.14","192.168.100.5","ICMP","74","Echo (ping) reply    id=0x0001, seq=1113/22788, ttl=128 (request in 7)"
"9","1.014969","192.168.100.9","192.168.100.14","ICMP","74","Echo (ping) request  id=0x0001, seq=55782/59097, ttl=128 (reply in 10)"
"10","1.015045","192.168.100.14","192.168.100.9","ICMP","74","Echo (ping) reply    id=0x0001, seq=55782/59097, ttl=128 (request in 9)"
"11","1.361135","192.168.100.25","192.168.100.14","ICMP","74","Echo (ping) request  id=0x0001, seq=2285/60680, ttl=128 (reply in 12)"
"12","1.361209","192.168.100.14","192.168.100.25","ICMP","74","Echo (ping) reply    id=0x0001, seq=2285/60680, ttl=128 (request in 11)"
"13","1.535894","192.168.100.5","192.168.100.14","ICMP","74","Echo (ping) request  id=0x0001, seq=1114/23044, ttl=128 (reply in 14)"
"14","1.535970","192.168.100.14","192.168.100.5","ICMP","74","Echo (ping) reply    id=0x0001, seq=1114/23044, ttl=128 (request in 13)"
"15","2.029486","192.168.100.9","192.168.100.14","ICMP","74","Echo (ping) request  id=0x0001, seq=55784/59609, ttl=128 (reply in 16)"
"16","2.029563","192.168.100.14","192.168.100.9","ICMP","74","Echo (ping) reply    id=0x0001, seq=55784/59609, ttl=128 (request in 15)"
"17","2.371204","192.168.100.25","192.168.100.14","ICMP","74","Echo (ping) request  id=0x0001, seq=2286/60936, ttl=128 (reply in 18)"
"18","2.371281","192.168.100.14","192.168.100.25","ICMP","74","Echo (ping) reply    id=0x0001, seq=2286/60936, ttl=128 (request in 17)"
"19","2.557337","192.168.100.5","192.168.100.14","ICMP","74","Echo (ping) request  id=0x0001, seq=1115/23300, ttl=128 (reply in 20)"
"20","2.557422","192.168.100.14","192.168.100.5","ICMP","74","Echo (ping) reply    id=0x0001, seq=1115/23300, ttl=128 (request in 19)"
"21","3.029835","192.168.100.9","192.168.100.255","NBNS","92","Name query NB WPAD<00>"
"22","3.030525","192.168.100.9","224.0.0.252","LLMNR","64","Standard query 0x5d78 A wpad"
"23","3.031475","192.168.100.9","224.0.0.252","LLMNR","64","Standard query 0xfa14 AAAA wpad"
"24","3.043014","192.168.100.9","192.168.100.14","ICMP","74","Echo (ping) request  id=0x0001, seq=55786/60121, ttl=128 (reply in 25)"
"25","3.043092","192.168.100.14","192.168.100.9","ICMP","74","Echo (ping) reply    id=0x0001, seq=55786/60121, ttl=128 (request in 24)"
"26","3.384926","192.168.100.25","192.168.100.14","ICMP","74","Echo (ping) request  id=0x0001, seq=2287/61192, ttl=128 (reply in 27)"
"27","3.385002","192.168.100.14","192.168.100.25","ICMP","74","Echo (ping) reply    id=0x0001, seq=2287/61192, ttl=128 (request in 26)"
"28","3.579199","192.168.100.5","192.168.100.14","ICMP","74","Echo (ping) request  id=0x0001, seq=1116/23556, ttl=128 (reply in 29)"
"29","3.579277","192.168.100.14","192.168.100.5","ICMP","74","Echo (ping) reply    id=0x0001, seq=1116/23556, ttl=128 (request in 28)"
"30","4.053154","192.168.100.9","224.0.0.252","LLMNR","64","Standard query 0x5d78 A wpad"
"31","4.054021","192.168.100.9","224.0.0.252","LLMNR","64","Standard query 0xfa14 AAAA wpad"
"32","4.055303","192.168.100.9","192.168.100.255","NBNS","92","Name query NB WPAD<00>"
"33","4.057127","192.168.100.9","192.168.100.14","ICMP","74","Echo (ping) request  id=0x0001, seq=55788/60633, ttl=128 (reply in 34)"
"34","4.057203","192.168.100.14","192.168.100.9","ICMP","74","Echo (ping) reply    id=0x0001, seq=55788/60633, ttl=128 (request in 33)"
"35","4.402305","192.168.100.25","192.168.100.14","ICMP","74","Echo (ping) request  id=0x0001, seq=2288/61448, ttl=128 (reply in 36)"
"36","4.402398","192.168.100.14","192.168.100.25","ICMP","74","Echo (ping) reply    id=0x0001, seq=2288/61448, ttl=128 (request in 35)"
"37","4.594311","192.168.100.5","192.168.100.14","ICMP","74","Echo (ping) request  id=0x0001, seq=1117/23812, ttl=128 (reply in 38)"
"38","4.594388","192.168.100.14","192.168.100.5","ICMP","74","Echo (ping) reply    id=0x0001, seq=1117/23812, ttl=128 (request in 37)"
"39","4.948084","Azurewav_44:a4:d3","Tp-LinkT_07:e3:e2","ARP","42","Who has 192.168.100.9? Tell 192.168.100.14"
"40","4.952622","Tp-LinkT_07:e3:e2","Azurewav_44:a4:d3","ARP","42","192.168.100.9 is at 84:16:f9:07:e3:e2"
"41","5.061244","192.168.100.14","122.11.128.50","UDP","114","50251  >  19900 Len=72"
"42","5.071090","192.168.100.9","192.168.100.14","ICMP","74","Echo (ping) request  id=0x0001, seq=55790/61145, ttl=128 (reply in 43)"
"43","5.071192","192.168.100.14","192.168.100.9","ICMP","74","Echo (ping) reply    id=0x0001, seq=55790/61145, ttl=128 (request in 42)"
"44","5.078313","192.168.100.9","192.168.100.255","NBNS","92","Name query NB WPAD<00>"
"45","5.079597","192.168.1.254","192.168.1.255","RIPv2","66","Response"
"46","5.418008","192.168.100.25","192.168.100.14","ICMP","74","Echo (ping) request  id=0x0001, seq=2289/61704, ttl=128 (reply in 47)"
"47","5.418086","192.168.100.14","192.168.100.25","ICMP","74","Echo (ping) reply    id=0x0001, seq=2289/61704, ttl=128 (request in 46)"
"48","5.612646","192.168.100.5","192.168.100.14","ICMP","74","Echo (ping) request  id=0x0001, seq=1118/24068, ttl=128 (reply in 49)"
"49","5.612722","192.168.100.14","192.168.100.5","ICMP","74","Echo (ping) reply    id=0x0001, seq=1118/24068, ttl=128 (request in 48)"
"50","6.085395","192.168.100.9","192.168.100.14","ICMP","74","Echo (ping) request  id=0x0001, seq=55792/61657, ttl=128 (reply in 51)"
"51","6.085472","192.168.100.14","192.168.100.9","ICMP","74","Echo (ping) reply    id=0x0001, seq=55792/61657, ttl=128 (request in 50)"
"52","6.428197","192.168.100.25","192.168.100.14","ICMP","74","Echo (ping) request  id=0x0001, seq=2290/61960, ttl=128 (reply in 53)"
"53","6.428273","192.168.100.14","192.168.100.25","ICMP","74","Echo (ping) reply    id=0x0001, seq=2290/61960, ttl=128 (request in 52)"
"54","6.628753","192.168.100.5","192.168.100.14","ICMP","74","Echo (ping) request  id=0x0001, seq=1119/24324, ttl=128 (reply in 55)"
"55","6.628830","192.168.100.14","192.168.100.5","ICMP","74","Echo (ping) reply    id=0x0001, seq=1119/24324, ttl=128 (request in 54)"
"56","7.100391","192.168.100.9","192.168.100.14","ICMP","74","Echo (ping) request  id=0x0001, seq=55794/62169, ttl=128 (reply in 57)"
"57","7.100493","192.168.100.14","192.168.100.9","ICMP","74","Echo (ping) reply    id=0x0001, seq=55794/62169, ttl=128 (request in 56)"
"58","7.452977","192.168.100.25","192.168.100.14","ICMP","74","Echo (ping) request  id=0x0001, seq=2291/62216, ttl=128 (reply in 59)"
"59","7.453055","192.168.100.14","192.168.100.25","ICMP","74","Echo (ping) reply    id=0x0001, seq=2291/62216, ttl=128 (request in 58)"
"60","7.647086","192.168.100.5","192.168.100.14","ICMP","74","Echo (ping) request  id=0x0001, seq=1120/24580, ttl=128 (reply in 61)"
"61","7.647161","192.168.100.14","192.168.100.5","ICMP","74","Echo (ping) reply    id=0x0001, seq=1120/24580, ttl=128 (request in 60)"
